Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
S12002,Science,Record.,9/10/2024,NOT DONE,C-,Yes
S01255,History,Head baby.,10/16/2024,Not Done,A+,No
S04968,Arabic,Keep audience medical free.,2/11/2025,DONE,A+,Yes
S07925,Geography,Three half peace.,10/3/2024,done,A+, 
S09980,Geography,Assume particularly.,12/1/2024,done,B-,No
S08309,Geography,Four from kind dark.,12/19/2024, Done ,A,No
S11121,Math,Analysis late human.,11/10/2024, not done ,F,Yes
S00175,Arabic,Shake by.,9/9/2024,Done ,A,No
S02439,Geography,Oil education large wonder.,1/1/2025,Done,C,No
S08144,Math,Never bar time personal.,10/15/2024,notdone,A+,No
S08545,Math,Deal music.,2/7/2025,done,F,No
S00424,History,Sister however.,9/28/2024, Done ,B, 
S00568,Math,Range huge.,1/28/2025,Done ,A,Yes
S07048,Arabic,Music build check force.,2/1/2025,Done,A+, 
S08771,Science,Strategy.,2/26/2025,not done,A+,Yes
S00004,English,Movement before.,3/2/2025,DONE,C-,No
S03421,Science,Strategy family.,12/13/2024,DONE,B,Yes
S05678,History,Alone yeah.,2/28/2025,Done ,A+, 
S01051,Geography,Town start industry.,12/5/2024,Done,B-, 
S08351,Geography,Upon possible.,10/6/2024, Done ,A+,Yes
S02892,Geography,All should.,1/13/2025,Done,B-,No
S11787,History,Deal city.,12/7/2024,done,A+,No
S09553,History,Road from open receive.,2/12/2025,Done ,A+,No
S00091,Geography,Laugh minute.,2/4/2025,not done,A, 
S05572,Math,Animal live.,1/3/2025,NOT DONE,B-,Yes
S03669,Science,Media environmental.,2/11/2025,done,C-,Yes
S02662,Math,Story.,9/24/2024,Pend,B,Yes
S02378,History,Social physical write.,1/27/2025, Done ,A+,Yes
S07855,History,Whom care ask.,2/20/2025,Not Done,C-, 
S10106,Math,Hospital if.,1/25/2025,Done,B, 
S06166,Math,Message seek.,12/19/2024,NOT DONE,B, 
S07503,Geography,Scientist relate cover.,1/4/2025,DONE,F, 
S09683,Geography,Success within medical.,2/11/2025,Done,C-,Yes
S03110,Geography,Red identify say.,1/4/2025,DONE,B, 
S04766,History,Generation.,2/17/2025,Done,C,No
S11466,Geography,Person job.,1/8/2025,done,A+,No
S04410,Science,Health general small.,2/20/2025,Done,D, 
S10067,History,Admit yard.,11/16/2024,Not Done,B,No
S06923,History,Place.,2/22/2025, pending ,F,No
S05866,History,Everybody half fear.,2/13/2025,NOT DONE,B-,No
S07087,History,Positive inside.,1/30/2025,Done,C,Yes
S07161,History,Sure factor.,11/28/2024,PENDING,C,Yes
S10924,History,Modern like director.,10/24/2024,not done,F,No
S07945,Math,Research prepare computer.,10/17/2024, Done ,B, 
S00187,Science,Foreign.,1/14/2025,Done ,D,No
S09910,Math,Mother course.,3/7/2025,Done ,F, 
S06993,English,Continue defense whatever.,11/13/2024,done,A,Yes
S03451,History,Occur son act.,9/12/2024,PENDING,A, 
S06188,History,Note line nation.,10/17/2024, not done ,A+,Yes
S07794,English,Attention popular nice.,3/7/2025,NOT DONE,D, 
S09303,History,Eat toward according.,12/8/2024,Done,A,Yes
S05058,Math,Bring thousand sea.,12/2/2024,NOT DONE,C,No
S03048,English,Themselves play adult.,1/30/2025,not done,B-,No
S11320,Geography,Answer.,1/9/2025,Done,A+, 
S11107,Math,Long.,12/7/2024,Done ,C-,Yes
S07251,English,Sometimes expert.,11/13/2024, pending ,C, 
S05103,Geography,Fear across.,9/12/2024,DONE,D, 
S07306,Geography,Moment.,10/23/2024,Not Done,A, 
S00828,Science,Station television manager.,10/2/2024,DONE,F,No
S02329,Science,Type follow.,9/13/2024,Done ,A+,No
S04045,Science,Behind suddenly truth.,11/2/2024,Done,B-, 
S08571,English,Especially require.,12/14/2024, not done ,A, 
S03713,History,Quickly simple.,10/8/2024,Done,A, 
S04784,Math,Read surface determine.,11/21/2024,Done,B,No
S04006,Arabic,Professional stand.,2/16/2025,Done ,D,Yes
S11171,Arabic,Whose save nearly.,2/11/2025,DONE,D,Yes
S08040,Math,Company black how.,2/27/2025,done,D,Yes
S01574,Science,Radio agency hit.,10/15/2024,Done,A+,Yes
S07756,Math,Well owner place.,9/13/2024,Done ,D, 
S01777,Math,Try sing moment.,10/27/2024,Done ,C,No
S06533,English,Theory single.,1/12/2025,Pending,A,Yes
S10168,Arabic,Mention prepare.,9/27/2024,done,B,Yes
S06215,Arabic,Side service difficult.,1/25/2025,NOT DONE,C, 
S06511,Geography,Reality create.,1/24/2025,not done,B-, 
S06224,History,Tough out.,10/3/2024,Not Done,B-,Yes
S02532,Science,Set capital.,1/31/2025,Done ,D,No
S04520,Science,Tonight attention.,10/15/2024,notdone,C-,No
S00087,Geography,Their clear team.,1/28/2025,Pending,C,No
S05770,Science,What generation current.,2/21/2025,PENDING,D, 
S09016,Arabic,Floor woman.,11/26/2024,DONE,B-, 
S12111,Arabic,Relate.,1/23/2025,notdone,C-, 
S11555,Math,Feel may speak.,9/20/2024,Done ,B,No
S02282,Geography,Agent child.,11/18/2024,done,D, 
S01153,History,Thousand hour.,9/29/2024,Done ,B,Yes
S01856,Arabic,Leave popular.,9/13/2024,DONE,C,No
S06708,Science,Project everybody fly.,3/3/2025,DONE,C-,No
S01043,Arabic,Apply rule present.,1/23/2025,Not Done,A,Yes
S09501,History,Administration race.,12/25/2024,Not Done,A,Yes
S09150,Math,Start make.,10/19/2024,Done ,A+, 
S00985,English,Sound serve.,12/2/2024,Done ,C-,Yes
S04485,Geography,Report.,2/26/2025,PENDING,C-,Yes
S05960,Science,Owner national.,11/23/2024,notdone,C-,No
S00219,History,Various glass.,10/27/2024,notdone,A+,No
S10285,Science,Between plant.,11/27/2024, not done ,D, 
S07872,English,Soon when less this.,12/25/2024,Done ,C-, 
S03670,Math,Continue.,10/24/2024,Done,C-,No
S02486,Math,High.,2/18/2025,Not Done,A+, 
S06554,English,Its center machine.,9/28/2024, Done ,B-,No
S01349,Arabic,Between.,1/20/2025,not done,F,No
S06486,Science,Say current provide.,12/12/2024,pending,D,No
S00601,Geography,Choice coach.,12/23/2024,not done,B,Yes
S00330,English,Start single.,10/23/2024,DONE,C, 
S03120,Math,Much current class any.,2/1/2025, pending ,C-, 
S10266,Science,Task situation.,1/31/2025,Done,C, 
S10471,Science,Responsibility century.,9/23/2024, not done ,F, 
S08021,Math,Medical charge.,12/9/2024,Done,D, 
S07736,English,War sister.,9/22/2024, Done ,B, 
S07659,Science,Of environment.,1/19/2025,Done ,A+,Yes
S09863,History,Wall around popular.,9/17/2024,done,A+, 
S07273,English,So.,2/6/2025,Done,A+, 
S10920,Science,South least.,9/15/2024,Not Done,C,No
S05796,English,Because north administration.,11/23/2024,NOT DONE,B-,Yes
S06259,English,Attack turn.,9/22/2024,DONE,D,No
S05122,Geography,Culture may remember.,1/4/2025, not done ,A,No
S10172,Arabic,Standard.,1/25/2025,Done ,A,Yes
S03138,History,Guess direction.,12/25/2024,Pend,D,Yes
S07726,Math,May if.,11/23/2024,DONE,C-,Yes
S06642,Math,Nation establish.,10/16/2024,Pending,A,Yes
S05811,Geography,Finally question rate.,11/29/2024, Done ,B,No
S06638,Arabic,Air two.,2/9/2025,notdone,C-, 
S06909,Math,Have skin.,12/31/2024,notdone,B-,Yes
S10341,English,Writer teach follow.,1/13/2025,DONE,A+, 
S09572,History,From plan something.,3/1/2025,done,B,Yes
S05178,History,Past sing.,9/20/2024,Done ,A+,No
S09258,Geography,Law carry stage.,2/6/2025, Done ,D,No
S09268,Math,Religious student hot.,9/29/2024,done,C,No
S03447,Science,Pick police and.,10/25/2024,PENDING,A,No
S01530,Math,Through wear.,11/19/2024,Done,A+,Yes
S07544,Math,Be memory TV.,9/11/2024,not done,C,No
S06996,Math,Significant expect.,11/9/2024,PENDING,A+,Yes
S06032,Arabic,Low another western.,12/15/2024,done,A+, 
S03303,English,Fill they we.,2/22/2025,PENDING,A,No
S03099,Science,Health top.,12/5/2024,Pending,D, 
S07216,Math,Shoulder exist network.,12/18/2024, pending ,A+, 
S04062,Math,Event he thousand alone.,3/3/2025,Done,D, 
S07816,Science,Join close.,10/22/2024,Not Done,A,Yes
S09683,Arabic,Knowledge become.,2/6/2025,Done ,B,No
S04470,English,Lay maybe.,12/5/2024,not done,D, 
S02370,Math,Call manage difference seem.,2/24/2025,Done,A, 
S08804,Geography,Reduce region hold.,2/7/2025,Pend,D,Yes
S02581,History,Section sing.,12/25/2024,PENDING,C-,Yes
S06156,Geography,Per hour.,2/6/2025,DONE,B-,Yes
S06549,Science,Member without.,10/31/2024,notdone,B, 
S09864,Arabic,Safe state.,11/29/2024,Not Done,D, 
S09007,Geography,Movement task.,9/14/2024, pending ,C-, 
S08276,Geography,Position hotel politics.,12/31/2024, not done ,B-, 
S07650,English,Return national.,12/1/2024,Pending,C,No
S08249,Geography,Pick rule source point.,2/5/2025,notdone,B-, 
S06365,Geography,Clear writer skin.,2/14/2025, pending ,F,No
S09777,Math,History rate.,12/20/2024,not done,C-,Yes
S03956,Science,Control.,10/2/2024,NOT DONE,F,No
S01771,History,Either interview.,11/29/2024,PENDING,C,Yes
S06247,Science,Environment beyond production early.,12/21/2024,done,F, 
S10620,History,Exactly away yard.,1/14/2025,done,D,Yes
S05935,Geography,Similar.,1/18/2025, Done ,A,Yes
S06837,Science,Significant purpose draw.,11/25/2024,done,A, 
S09908,History,Necessary worker population.,10/28/2024,Not Done,D,Yes
S07199,Science,Smile time mother.,2/23/2025,NOT DONE,B,No
S07449,Math,Agency guy.,11/11/2024,DONE,B-,Yes
S02318,Math,Difficult stand article deep.,12/8/2024,notdone,C,Yes
S04706,Geography,Teach open.,11/14/2024, pending ,F,Yes
S07726,Arabic,Exist next whom.,2/1/2025,DONE,B, 
S08593,Science,Design their happy treatment.,2/24/2025,done,B,No
S06267,Geography,Office.,11/10/2024,Pending,B-,No
S03757,Math,Ok each.,10/8/2024, not done ,D, 
S03985,English,Green somebody.,2/27/2025,NOT DONE,B-,Yes
S04322,Arabic,Century public.,2/16/2025,PENDING,B-,Yes
S01487,Math,Measure their piece.,10/31/2024,not done,A,No
S07854,Geography,Late many eight.,1/5/2025, Done ,D,No
S06182,Arabic,Wall spring tend.,1/23/2025,NOT DONE,C, 
S01367,English,Along spring.,2/22/2025,done,C, 
S01302,English,Rule personal short.,9/16/2024,done,A+,Yes
S07532,History,Challenge operation husband.,11/16/2024,Not Done,B,Yes
S11652,Geography,Create public especially.,1/10/2025, not done ,F,No
S07760,English,List agreement.,1/20/2025,done,C,No
S07351,Geography,Language position skin.,9/23/2024,notdone,A, 
S04812,English,Who first.,3/6/2025,Done,A,No
S05768,Geography,Body relate international.,2/7/2025,NOT DONE,B-,No
S08813,Math,Door foreign each military.,9/28/2024,pending,B,Yes
S00156,English,Now local carry.,11/18/2024,Done,A, 
S11510,Arabic,Play heart admit guess.,12/11/2024,not done,C,Yes
S08528,History,Tv.,3/1/2025, not done ,B,No
S06671,History,Nation deep.,12/16/2024,done,C-,No
S09013,Arabic,Right image.,9/20/2024,Pending,C,No
S11993,Math,Mouth account.,10/8/2024,Pend,A+, 
S04264,Geography,Energy believe happy.,9/16/2024,NOT DONE,A,No
S02414,Math,Not create.,12/30/2024,Pending,B,Yes
S06115,Science,Sister themselves.,9/21/2024,notdone,D, 
S04064,English,Type somebody different.,3/9/2025,Done ,F, 
S00753,History,There fill.,1/17/2025,DONE,A,Yes
S02102,English,According animal much.,1/17/2025, not done ,A, 
S08949,Math,Buy likely.,1/20/2025,DONE,B,No
S00765,Arabic,Leg one.,10/24/2024,notdone,A+, 
S02434,Science,Avoid town thought.,9/23/2024,DONE,C,Yes
S07862,Math,Economic quality.,2/5/2025,done,B,No
S10130,English,Kitchen perhaps focus.,11/21/2024,Pend,D, 
S00888,Science,Safe lay.,10/26/2024, not done ,C,No
S02863,Science,Ahead response cup season.,11/8/2024,Done ,C,No
S01326,Science,In all group.,1/14/2025,Done ,B-,Yes
S05779,English,Able meet recently save.,12/4/2024,Done ,A,No
S02711,Geography,Available response.,10/25/2024, pending ,B-, 
