student_key,subject_key,assignment_name,assignment_due_date,assignment_status,grade_feedback,guardian_signature
12002,6,Record.,2024-09-10,not done,C-,Yes
1255,4,Head baby.,2024-10-16,not done,A+,No
4968,1,Keep audience medical free.,2025-02-11,done,A+,Yes
7925,3,Three half peace.,2024-10-03,done,A+,n/a
9980,3,Assume particularly.,2024-12-01,done,B-,No
8309,3,Four from kind dark.,2024-12-19,done,A,No
11121,5,Analysis late human.,2024-11-10,not done,F,Yes
175,1,Shake by.,2024-09-09,done,A,No
2439,3,Oil education large wonder.,2025-01-01,done,C,No
8144,5,Never bar time personal.,2024-10-15,not done,A+,No
8545,5,Deal music.,2025-02-07,done,F,No
424,4,Sister however.,2024-09-28,done,B,n/a
568,5,Range huge.,2025-01-28,done,A,Yes
7048,1,Music build check force.,2025-02-01,done,A+,n/a
8771,6,Strategy.,2025-02-26,not done,A+,Yes
4,2,Movement before.,2025-03-02,done,C-,No
3421,6,Strategy family.,2024-12-13,done,B,Yes
5678,4,Alone yeah.,2025-02-28,done,A+,n/a
1051,3,Town start industry.,2024-12-05,done,B-,n/a
8351,3,Upon possible.,2024-10-06,done,A+,Yes
2892,3,All should.,2025-01-13,done,B-,No
11787,4,Deal city.,2024-12-07,done,A+,No
9553,4,Road from open receive.,2025-02-12,done,A+,No
91,3,Laugh minute.,2025-02-04,not done,A,n/a
5572,5,Animal live.,2025-01-03,not done,B-,Yes
3669,6,Media environmental.,2025-02-11,done,C-,Yes
2662,5,Story.,2024-09-24,pending,B,Yes
2378,4,Social physical write.,2025-01-27,done,A+,Yes
7855,4,Whom care ask.,2025-02-20,not done,C-,n/a
10106,5,Hospital if.,2025-01-25,done,B,n/a
6166,5,Message seek.,2024-12-19,not done,B,n/a
7503,3,Scientist relate cover.,2025-01-04,done,F,n/a
9683,3,Success within medical.,2025-02-11,done,C-,Yes
3110,3,Red identify say.,2025-01-04,done,B,n/a
4766,4,Generation.,2025-02-17,done,C,No
11466,3,Person job.,2025-01-08,done,A+,No
4410,6,Health general small.,2025-02-20,done,D,n/a
10067,4,Admit yard.,2024-11-16,not done,B,No
6923,4,Place.,2025-02-22,pending,F,No
5866,4,Everybody half fear.,2025-02-13,not done,B-,No
7087,4,Positive inside.,2025-01-30,done,C,Yes
7161,4,Sure factor.,2024-11-28,pending,C,Yes
10924,4,Modern like director.,2024-10-24,not done,F,No
7945,5,Research prepare computer.,2024-10-17,done,B,n/a
187,6,Foreign.,2025-01-14,done,D,No
9910,5,Mother course.,2025-03-07,done,F,n/a
6993,2,Continue defense whatever.,2024-11-13,done,A,Yes
3451,4,Occur son act.,2024-09-12,pending,A,n/a
6188,4,Note line nation.,2024-10-17,not done,A+,Yes
7794,2,Attention popular nice.,2025-03-07,not done,D,n/a
9303,4,Eat toward according.,2024-12-08,done,A,Yes
5058,5,Bring thousand sea.,2024-12-02,not done,C,No
3048,2,Themselves play adult.,2025-01-30,not done,B-,No
11320,3,Answer.,2025-01-09,done,A+,n/a
11107,5,Long.,2024-12-07,done,C-,Yes
7251,2,Sometimes expert.,2024-11-13,pending,C,n/a
5103,3,Fear across.,2024-09-12,done,D,n/a
7306,3,Moment.,2024-10-23,not done,A,n/a
828,6,Station television manager.,2024-10-02,done,F,No
2329,6,Type follow.,2024-09-13,done,A+,No
4045,6,Behind suddenly truth.,2024-11-02,done,B-,n/a
8571,2,Especially require.,2024-12-14,not done,A,n/a
3713,4,Quickly simple.,2024-10-08,done,A,n/a
4784,5,Read surface determine.,2024-11-21,done,B,No
4006,1,Professional stand.,2025-02-16,done,D,Yes
11171,1,Whose save nearly.,2025-02-11,done,D,Yes
8040,5,Company black how.,2025-02-27,done,D,Yes
1574,6,Radio agency hit.,2024-10-15,done,A+,Yes
7756,5,Well owner place.,2024-09-13,done,D,n/a
1777,5,Try sing moment.,2024-10-27,done,C,No
6533,2,Theory single.,2025-01-12,pending,A,Yes
10168,1,Mention prepare.,2024-09-27,done,B,Yes
6215,1,Side service difficult.,2025-01-25,not done,C,n/a
6511,3,Reality create.,2025-01-24,not done,B-,n/a
6224,4,Tough out.,2024-10-03,not done,B-,Yes
2532,6,Set capital.,2025-01-31,done,D,No
4520,6,Tonight attention.,2024-10-15,not done,C-,No
87,3,Their clear team.,2025-01-28,pending,C,No
5770,6,What generation current.,2025-02-21,pending,D,n/a
9016,1,Floor woman.,2024-11-26,done,B-,n/a
12111,1,Relate.,2025-01-23,not done,C-,n/a
11555,5,Feel may speak.,2024-09-20,done,B,No
2282,3,Agent child.,2024-11-18,done,D,n/a
1153,4,Thousand hour.,2024-09-29,done,B,Yes
1856,1,Leave popular.,2024-09-13,done,C,No
6708,6,Project everybody fly.,2025-03-03,done,C-,No
1043,1,Apply rule present.,2025-01-23,not done,A,Yes
9501,4,Administration race.,2024-12-25,not done,A,Yes
9150,5,Start make.,2024-10-19,done,A+,n/a
985,2,Sound serve.,2024-12-02,done,C-,Yes
4485,3,Report.,2025-02-26,pending,C-,Yes
5960,6,Owner national.,2024-11-23,not done,C-,No
219,4,Various glass.,2024-10-27,not done,A+,No
10285,6,Between plant.,2024-11-27,not done,D,n/a
7872,2,Soon when less this.,2024-12-25,done,C-,n/a
3670,5,Continue.,2024-10-24,done,C-,No
2486,5,High.,2025-02-18,not done,A+,n/a
6554,2,Its center machine.,2024-09-28,done,B-,No
1349,1,Between.,2025-01-20,not done,F,No
6486,6,Say current provide.,2024-12-12,pending,D,No
601,3,Choice coach.,2024-12-23,not done,B,Yes
330,2,Start single.,2024-10-23,done,C,n/a
3120,5,Much current class any.,2025-02-01,pending,C-,n/a
10266,6,Task situation.,2025-01-31,done,C,n/a
10471,6,Responsibility century.,2024-09-23,not done,F,n/a
8021,5,Medical charge.,2024-12-09,done,D,n/a
7736,2,War sister.,2024-09-22,done,B,n/a
7659,6,Of environment.,2025-01-19,done,A+,Yes
9863,4,Wall around popular.,2024-09-17,done,A+,n/a
7273,2,So.,2025-02-06,done,A+,n/a
10920,6,South least.,2024-09-15,not done,C,No
5796,2,Because north administration.,2024-11-23,not done,B-,Yes
6259,2,Attack turn.,2024-09-22,done,D,No
5122,3,Culture may remember.,2025-01-04,not done,A,No
10172,1,Standard.,2025-01-25,done,A,Yes
3138,4,Guess direction.,2024-12-25,pending,D,Yes
7726,5,May if.,2024-11-23,done,C-,Yes
6642,5,Nation establish.,2024-10-16,pending,A,Yes
