student_key,subject_key,exam_score,homework_completion_percentage,teacher_comments
396,1,76.00,90,Possible I large perhaps onto impact pretty agent long marriage civil often.
6544,5,91.00,100,Attention very once light speak yeah against central.
1277,6,92.00,100,Something piece phone wish rich these where career challenge despite thing cover.
686,2,40.00,90,Generation same story stand better father perform chance explain trouble best keep window.
10984,4,57.00,90,Minute board finally traditional clear result push cold throughout create.
5235,4,91.00,90,Main magazine consumer country any investment.
146,2,89.00,95,Probably specific science memory her stand since main.
11885,2,60.00,95,Deal feel area matter painting goal both inside support together real.
3222,6,95.00,90,South policy with last wide value reach leave gun party explain reason.
1968,3,50.00,95,Card cold imagine analysis here both knowledge.
7201,5,68.00,90,Put simple sport human them state property reach walk.
2158,5,68.00,90,Line market gas available chance who box field difficult and threat though.
4713,6,97.00,90,Country until face rich religious bad relationship industry owner.
394,4,74.00,80,Budget size then beat list south see expert current dog.
7662,6,47.00,100,Report fast focus into effect describe animal question show strong late.
8590,1,45.00,80,Shoulder land clearly window begin while.
1930,5,90.00,80,Official store foreign behavior situation information other others least work situation natural deal.
11362,1,70.00,100,Seem head party garden maintain trade current them.
7004,3,53.00,80,State still real return activity drive.
4249,3,78.00,100,Great arm do brother treatment ten.
5501,4,66.00,90,Great western national state born both part policy cause establish value use government.
12113,5,76.00,80,Large provide continue beat very main serve.
10295,2,44.00,95,Care own environmental defense central international front manage activity deal arrive.
2502,5,86.00,5,North easy political wait bill a have hold live rest.
2707,2,79.00,5,Someone hold job clearly until area seem report include act law.
6883,4,46.00,100,Individual yes eat senior today culture card first appear son ask.
8270,1,64.00,100,Show among when arrive might none thousand want report own relationship already.
4915,2,98.00,95,Move four local interesting involve thousand research like little.
8096,4,56.00,90,Manager husband late production discussion loss deep.
4091,4,72.00,100,Those you apply child church certain from media game.
2911,4,45.00,95,n/a
7992,3,96.00,5,Boy certainly event single get president book there anything win.
5620,6,62.00,100,Least senior someone stay day whole them.
5675,2,62.00,80,n/a
11950,2,97.00,5,n/a
5436,4,41.00,80,Well memory husband view weight country mean able race serve.
4441,3,45.00,95,Discuss start more mention year air.
9377,5,48.00,5,Food every father week particular let strategy election budget finally car real including.
10138,2,90.00,90,Glass wish employee street magazine memory even specific particular tree different.
7820,3,88.00,5,And third action natural blood boy hair.
5656,1,92.00,90,Your piece wind sing question just say identify.
2080,6,90.00,95,n/a
5366,6,61.00,95,Information music hot everything number commercial week occur allow general box.
690,3,81.00,100,Floor term experience off never than allow talk crime answer important.
